file_name,initial_shape,initial_dtype,initial_voxel_size,initial_total_voxels,initial_file_size_MB,final_shape,final_dtype,final_voxel_size,final_total_voxels,final_file_size_MB
D:/strokeDataset\sub-125\dwi\sub-125_rec-ADC_dwi.nii.gz,"(224, 224, 26, 1)",float64,"(np.float32(1.0223991), np.float32(1.0223991), np.float32(5.999999), np.float32(0.0))",1304576,0.5523576736450195,"(224, 224, 26)",float64,"(np.float32(1.0223991), np.float32(1.0223991), np.float32(5.999999))",1304576,0.5523557662963867
D:/strokeDataset\sub-125\dwi\sub-125_rec-TRACE_dwi.nii.gz,"(224, 224, 26, 1)",float64,"(np.float32(1.0223991), np.float32(1.0223991), np.float32(5.999999), np.float32(0.0))",1304576,0.574366569519043,"(224, 224, 26)",float64,"(np.float32(1.0223991), np.float32(1.0223991), np.float32(5.999999))",1304576,0.6781740188598633
D:/strokeDataset\sub-1250\anat\sub-1250_FLAIR.nii.gz,"(200, 512, 512)",float64,"(np.float32(0.9000062), np.float32(0.48924738), np.float32(0.4892473))",52428800,15.444869995117188,"(200, 512, 512)",float64,"(np.float32(0.9000062), np.float32(0.48924738), np.float32(0.4892473))",52428800,15.444869995117188
D:/strokeDataset\sub-1250\anat\sub-1250_T1w.nii.gz,"(370, 528, 528)",float64,"(np.float32(0.49999163), np.float32(0.47489432), np.float32(0.47489434))",103150080,30.476710319519043,"(370, 528, 528)",float64,"(np.float32(0.49999163), np.float32(0.47489432), np.float32(0.47489434))",103150080,30.476710319519043
D:/strokeDataset\sub-1250\dwi\sub-1250_rec-ADC_dwi.nii.gz,"(224, 224, 25, 1)",float64,"(np.float32(1.1057694), np.float32(1.1057693), np.float32(5.9999995), np.float32(0.0))",1254400,0.6671571731567383,"(224, 224, 25)",float64,"(np.float32(1.1057694), np.float32(1.1057693), np.float32(5.9999995))",1254400,0.6671562194824219
D:/strokeDataset\sub-1250\dwi\sub-1250_rec-TRACE_dwi.nii.gz,"(224, 224, 25, 1)",float64,"(np.float32(1.1057694), np.float32(1.1057693), np.float32(5.9999995), np.float32(0.0))",1254400,0.4266681671142578,"(224, 224, 25)",float64,"(np.float32(1.1057694), np.float32(1.1057693), np.float32(5.9999995))",1254400,0.5030908584594727
D:/strokeDataset\sub-1251\anat\sub-1251_FLAIR.nii.gz,"(400, 400, 28)",float64,"(np.float32(0.57500005), np.float32(0.5749999), np.float32(6.000004))",4480000,2.150029182434082,"(400, 400, 28)",float64,"(np.float32(0.57500005), np.float32(0.5749999), np.float32(6.000004))",4480000,2.150029182434082
D:/strokeDataset\sub-1251\anat\sub-1251_T1w.nii.gz,"(170, 222, 203)",float64,"(np.float32(0.9999974), np.float32(1.0), np.float32(1.0000001))",7661220,3.017207145690918,"(170, 222, 203)",float64,"(np.float32(0.9999974), np.float32(1.0), np.float32(1.0000001))",7661220,3.017207145690918
D:/strokeDataset\sub-1251\dwi\sub-1251_rec-ADC_dwi.nii.gz,"(256, 256, 26, 1)",float64,"(np.float32(0.8984374), np.float32(0.8984375), np.float32(5.999996), np.float32(0.0))",1703936,0.9554996490478516,"(256, 256, 26)",float64,"(np.float32(0.8984374), np.float32(0.8984375), np.float32(5.999996))",1703936,0.9554986953735352
D:/strokeDataset\sub-1251\dwi\sub-1251_rec-TRACE_dwi.nii.gz,"(256, 256, 26, 1)",float64,"(np.float32(0.8984374), np.float32(0.8984375), np.float32(5.999996), np.float32(0.0))",1703936,0.6620502471923828,"(256, 256, 26)",float64,"(np.float32(0.8984374), np.float32(0.8984375), np.float32(5.999996))",1703936,0.7418146133422852
